# Site info for stations in the Delta.
# xy is in UTM zone 10, epsg:26910. lat-lon is epsg 4269
station_id,agency_id,name,x,y,lat,lon,agency_lat,agency_lon,d1641_id,cdec_id,agency,comment
swe,B91650,Sacramento R at Walnut Grove,629874.3,4233686.1,38.24180936,-121.51590151,38.24180921,-121.515902,,SWE,dwr_ncro,Not confirmed. Based on lat/long to 1 arc second from Central District and nudged to pier.
snod,B91750,Sacramento R at Snodgrass,628119.1,4245666.2,38.34999584,-121.53378152,38.34999607,-121.533782,,,dwr_ncro,Not confirmed. Based on lat/long to 1 arc second from Central District and nudged to shore.
sr3,B95060,Threemile Slough at San Joaquin R,615180.4,4216618.4,38.09002789,-121.68653081,38.09002802,-121.6865309,,SR3,dwr_ncro,Not confirmed. Based on lat/long to 1 arc second from Central District and nudged to shore.
tss,B9506100,Threemile Slough near San Joaquin River,615192.5278,4218085.215,38.10324290,-121.68615590,38.1032429,-121.6861559,,TSS,dwr_ncro,water quality
glab,B95310,Grant Line Canal above Dam,636598.9,4186932.5,37.81958516,-121.44799870,37.81958494,-121.4479993,,,dwr_ncro,Not confirmed. Based on lat/long to 1 arc second from Central District
orccf,B95340,Old R at Clifton Court Ferry,627355.1,4187787.9,37.82862945,-121.55284193,37.82862964,-121.5528418,,,dwr_ncro,"Not confirmed. Based on lat/long to 1 arc second from Central District; not ORI, about 80 meter north of ORI"
bir,B95460,Middle R at Bacon Island,629615.4,4207043.7,38.00180660,-121.52370137,38.00180666,-121.523702,,BIR,dwr_ncro,Not confirmed. Based on lat/long to 1 arc second from Central District and moved to pier
mdmzq,B95468,Middle R at Middle R,628839.5,4200455,37.94255313,-121.53371762,37.94000114,-121.5330499,,,dwr_ncro,"USGS moved their flow station onto a pile and collects stage, EC, temp and turbidity which is telemetered.  NCRO collects stage, temp and EC on the levee next to the pile but is not telemetered."
mup,B95500,Middle River at Union Point,632905.7,4194776.6,37.89080570,-121.48850360,37.89083333,-121.4883333,,MUP,dwr_ncro,"We had this as Borden HW, NCRO said Union Point"
mrmow,B95540,Middle R at Mowry,642289.3,4188756.4,37.83514822,-121.38301040,37.83514791,-121.383011,,,dwr_ncro,Not confirmed. Based on lat/long to 1 arc second from Central District and nudged to pier
trn,B95616,Turner Cut near Holt,635762.3,4206110.6,37.99250012,-121.45388865,37.9925,-121.4538889,,TRN,dwr_ncro,"USGS collects flow data on a pile they installed.  NCRO collects temp, pH, EC, DO, turbidity, chlorophyll on pile with USGS and uses USGS telemetry."
vcu2,B95285,Victoria Canal near Byron,629291.6,4192502.2,37.87083365,-121.53000050,37.8708333,-121.53,,VCU,dwr_ncro,Not confirmed. Boat access.
hlt2,B95458,Middle R near Holt,630737.3,4207200.2,38.00305556,-121.51089855,38.00305556,-121.5108985,,HLT,dwr_ncro,"USGS collects flow data on a pile they installed.  NCRO collects temp, EC, turbidity and chlorophyll on pile with USGS and uses USGS telemetry.  All data on CDEC"
glc2,B95295,Grant Line Canal near Clifton Court Forebay - WQ ,627753,4186838.8,37.82002217,-121.54848939,37.82013889,-121.5446111,,GLC,dwr_ncro,"USGS measures flow whiles NCRO measures temp, EC pH, DO turbidity and chlorophyll.  USGS telemeters this data  (Station located on USGS pile 5.5 miles west of Tracy Rd. Bridge)"
hol2,B95120,Holland Cut near Bethel Island,624476.9,4208582.2,38.01638874,-121.58194417,38.01638889,-121.5819444,,HOL,dwr_ncro,"At HOL, USGS collects flow data while NCRO collects EC, temp and turbidity.  USGS telemeters the data."
orq2,B95200,Old R at Quimby Island,625994.6,4209807.9,38.02722258,-121.56444384,38.0272222,-121.5644444,,ORQ,dwr_ncro,
fal2,B95044,False R near Oakley,616952.5,4212848.6,38.05583312,-121.66694427,38.0558333,-121.6669444,,FAL,dwr_ncro,"Both FAL and ORQ are USGS station where they collect flow and NCRO collects EC, chlorophyll, temp and turbidity"
